x,y,info
-2.7153906156341336,0.1695568475560263,"Iris-setosa"
-2.889819539617919,0.13734560960502762,"Iris-setosa"
-2.746437197308737,0.31112431575199156,"Iris-setosa"
-2.8208906821806328,0.08210451102468048,"Iris-setosa"
-2.887958565335637,0.5707980263315912,"Iris-setosa"
-2.6738446867191232,0.10669170375273858,"Iris-setosa"
-2.6131427182710585,-0.021520631960258343,"Iris-setosa"
-2.7874339759971,0.22774018887110625,"Iris-setosa"
-3.2252004462749833,0.5032799094854256,"Iris-setosa"
-2.3031285376638846,-0.105522678429982,"Iris-setosa"
-2.3561710866839003,0.031209589068337693,"Iris-setosa"
-2.507917226837883,0.1390563399131743,"Iris-setosa"
-2.4690559975451256,-0.13788731459041775,"Iris-setosa"
-2.6328479080307607,0.19007583063362382,"Iris-setosa"
-2.5884620513033942,0.19739307943769074,"Iris-setosa"
-2.6738446867191232,0.10669170375273858,"Iris-setosa"
-2.8669998469325364,-0.07719309572358675,"Iris-setosa"
-2.6738446867191232,0.10669170375273858,"Iris-setosa"
-2.981842664853911,0.4802500488560761,"Iris-setosa"
-2.8522110815663946,0.9328653674695448,"Iris-setosa"
-2.998296442832354,0.3343075745907764,"Iris-setosa"
-2.715665190747457,0.24268148289811303,"Iris-setosa"
-2.8403212968270117,0.22057633827647638,"Iris-setosa"
-2.703912314863653,-0.11501085217050556,"Iris-setosa"
1.2847945878450684,-0.6854391861329187,"Iris-versicolor"
1.4640613227790724,-0.504189832972452,"Iris-versicolor"
0.9275729420326969,-0.468236205043116,"Iris-versicolor"
1.2204289662446766,-0.4080353370010165,"Iris-versicolor"
2.6164846082840403,-0.3419352869872938,"Iris-virginica"
3.396879920678134,-0.5471680462301514,"Iris-virginica"
2.9320050969912974,-0.35237700618085893,"Iris-virginica"
2.918134233644248,-0.7803806293720313,"Iris-virginica"
3.4887653796563827,-1.1715445442635635,"Iris-virginica"
2.4281672590208454,-0.37678197125415175,"Iris-virginica"
3.4992654842989532,-0.4567734669640731,"Iris-virginica"
2.2758536493056907,-0.33338652575664174,"Iris-virginica"
2.6141938306983303,-0.5583669502788215,"Iris-virginica"
2.387564402369024,-0.4625192507262596,"Iris-virginica"
2.8409609252853802,-0.37274259104901986,"Iris-virginica"
3.0765216210206585,-0.6857644422460547,"Iris-virginica"
2.1076537311732655,-0.37148224917710476,"Iris-virginica"
1.9224508848357496,-0.40927117617869424,"Iris-virginica"
2.5633227123408058,-0.2759745022398376,"Iris-virginica"
2.419391219804977,-0.3035039377026282,"Iris-virginica"
-2.684207125103951,-0.3266073147643879,"CORRECT"
-2.728592981831317,-0.3339245635684549,"CORRECT"
-2.2798973610095996,-0.7477827132251332,"CORRECT"
-2.6264819933238215,-0.17040534896028992,"CORRECT"
-2.5065267893389054,-0.6519350136725717,"CORRECT"
-2.643543216941148,-1.1861948994134486,"CORRECT"
-2.3838693237993773,-1.344754344559862,"CORRECT"
-2.622526203125811,-0.8180896745965949,"CORRECT"
-2.648322732479129,-0.31913666775088456,"CORRECT"
-2.1990779614307647,-0.879244088091736,"CORRECT"
-2.5873461889177403,-0.5204736388059682,"CORRECT"
-2.3105317013131357,-0.3978678215888915,"CORRECT"
-2.5432349073036975,-0.4400317546598153,"CORRECT"
-3.2158576949001083,-0.1416155716255839,"CORRECT"
-2.5623909468367527,-0.37468456275010587,"CORRECT"
-2.6398212683765845,-0.31929006596032156,"CORRECT"
-2.410077337121598,-0.4180800082476155,"CORRECT"
-2.6476366733969026,-0.8199826325595073,"CORRECT"
-2.5971594770759205,-1.1000219280072683,"CORRECT"
-2.6252284646804234,-0.6068000084215858,"CORRECT"
-2.5903230255856764,-0.23605933728887274,"CORRECT"
-2.7701389107463266,-0.2710594197651671,"CORRECT"
-2.405514101284704,-0.19591725769606072,"CORRECT"
-2.208832954176708,-0.44269603042100336,"CORRECT"
-2.5375733710135093,-0.5103675454766062,"CORRECT"
-2.542685757077051,-0.5862810253439883,"CORRECT"
0.9324107529829145,-0.3191980898336481,"CORRECT"
0.1809672063476954,0.8256039435761134,"WRONG"
1.0871344872069977,-0.07539038928876651,"CORRECT"
0.6404367495231421,0.4173234829700255,"WRONG"
1.0952237099384752,-0.2838912109384801,"CORRECT"
-0.7514671406482301,1.0011075129743938,"WRONG"
1.043297780706278,-0.22895690877700592,"CORRECT"
-0.010190070727856534,0.7205748667019013,"WRONG"
-0.5110861958950939,1.2624919538621406,"WRONG"
0.5110980606834744,0.10228410504597052,"CORRECT"
0.262335756153177,0.5478932980253377,"CORRECT"
0.9840445451694276,0.12436042022227815,"CORRECT"
-0.17486400196569918,0.25181557108017083,"WRONG"
0.6595927890561972,0.3519762910603162,"WRONG"
0.23454058625983232,0.3319218293621205,"WRONG"
0.9423617073988387,0.5418222581500153,"CORRECT"
0.043246400328701445,0.5814894466123589,"WRONG"
1.1162407237538126,0.08421401387837327,"CORRECT"
0.35678656783045815,0.06682382794136693,"CORRECT"
1.2964688502855306,0.327561519794945,"CORRECT"
0.9205026489090059,0.18239036332792113,"CORRECT"
0.71400821364283,-0.15037915314843633,"CORRECT"
0.899640863283773,-0.3296109795818829,"CORRECT"
1.3310414188547166,-0.24466952060228814,"CORRECT"
1.5573962720706993,-0.26739258481276396,"CORRECT"
0.8124555489979988,0.1623315748786336,"CORRECT"
-0.30733475566340734,0.36508661276616095,"WRONG"
-0.07034288894927482,0.7025379317307261,"WRONG"
-0.1918844921031489,0.6774905443743575,"WRONG"
0.13499495045137017,0.3117096427033966,"WRONG"
1.3787369827755793,0.4212051382146284,"WRONG"
0.5872748535799075,0.48328426771748184,"WRONG"
0.8072054966767134,-0.19505396377111167,"CORRECT"
0.8128677903690665,0.37067899831891093,"CORRECT"
0.24519516169034278,0.26672803566184783,"WRONG"
0.16451342836925253,0.679661469310814,"WRONG"
0.4630309888714208,0.6695265465361223,"WRONG"
0.890160445651153,0.033812442746762886,"CORRECT"
0.22887904996964442,0.4022576201789118,"WRONG"
-0.7070812839208638,1.0084247617784607,"WRONG"
0.35553303918706025,0.5032184874026623,"WRONG"
0.3311269473327196,0.21118014066262653,"WRONG"
0.3752382289467626,0.29162202480877975,"WRONG"
0.6416902781665399,-0.01907117649127014,"CORRECT"
-0.9084633331234981,0.7515687251694858,"WRONG"
0.2978079074069308,0.347016521598564,"WRONG"
2.531726980439555,0.011842236640300277,"CORRECT"
1.414072225173754,0.5749250559123047,"WRONG"
1.9708149459064783,0.1811256947049138,"CORRECT"
2.349757983950939,0.04188254965484217,"CORRECT"
0.5193832450849327,1.1913516890506524,"WRONG"
2.31967279387405,0.24554817060691106,"CORRECT"
1.6619349470194835,-0.24203840103752186,"CORRECT"
1.8023404526607298,0.21615460662653696,"CORRECT"
2.1653788629533945,-0.2152802833730063,"CORRECT"
1.344594217509821,0.7764154251768252,"WRONG"
1.5852672993086405,0.5393070538471723,"WRONG"
1.904743578213909,-0.1188189909826981,"CORRECT"
1.9492487818644946,-0.040730259427767444,"CORRECT"
3.794686861209967,-0.25326557097253294,"CORRECT"
1.2983298245678125,0.7610139365215083,"WRONG"
1.1980973722749593,0.6055789617645942,"WRONG"
1.3876682501815525,0.2040309865701556,"WRONG"
1.257625182925133,0.17913699742322345,"WRONG"
1.2906696477375983,0.11642525182937272,"WRONG"
2.1228539805083093,0.21085488454949036,"CORRECT"
3.2323428982958715,-1.3705240359763327,"CORRECT"
2.158738373133131,0.21832553156299378,"CORRECT"
1.4431026043759714,0.14380128908272655,"CORRECT"
1.779640106898566,0.5014647947060155,"CORRECT"
2.1449868567093007,-0.13890660887731449,"CORRECT"
1.9048629251371283,-0.04804750823183442,"CORRECT"
1.1688534694704003,0.16450249981509005,"WRONG"
2.314303394629545,-0.18260885079369776,"CORRECT"
1.414072225173754,0.5749250559123047,"WRONG"
1.9440170488777344,-0.1874152220460128,"CORRECT"
1.5256636313138694,0.37502084819182385,"WRONG"
1.7640459355269795,-0.07851918642935676,"CORRECT"
1.9016290752882292,-0.11587674824796568,"CORRECT"
1.3896661333194134,0.28288670917226894,"CORRECT"